1	282
1	50
2	281
3	236
4	282
5	59
2	120
6	180
7	304
2	282
3	93
7	290
3	282
7	59
5	93
3	307
7	253
7	50
8	59
7	282
7	236
3	50
3	206
3	59
8	93
9	271
9	353
7	147
8	304
9	282
2	50
8	236
2	253
7	323
3	61
8	50
6	307
7	145
10	163
11	2
6	51
2	314
2	366
8	206
8	65
6	240
6	282
8	282
12	93
8	142
13	182
14	61
8	91
6	50
7	296
7	91
7	140
7	252
3	302
3	91
6	107
7	126
3	119
15	50
16	240
17	216
7	270
8	61
18	353
15	240
7	375
6	304
3	105
3	281
15	282
2	54
8	126
2	210
19	93
8	281
15	253
7	294
2	95
19	140
3	205
20	210
20	215
20	216
20	240
15	39
15	327
14	45
14	182
7	45
7	79
7	86
7	205
7	250
7	283
7	315
7	316
7	327
8	30
8	79
8	361
3	79
3	361
6	105
6	106
6	108
6	327
5	205
17	215
21	296
22	369
23	256
23	310
12	45
24	2
25	16
26	53
26	327
2	70
2	105
2	107
2	140
2	196
2	211
2	214
2	327
27	93
28	45
28	91
28	105
28	106
28	140
28	182
28	205
28	210
28	211
28	218
28	219
28	254
28	269
28	316
28	327
29	50
30	282
8	307
3	290
2	290
8	140
3	45
8	32
7	35
31	119
1	369
17	210
28	290
6	205
8	119
2	147
2	126
2	271
7	254
1	45
7	232
15	205
32	59
28	147
33	65
28	59
2	16
28	282
2	35
8	232
28	236
3	327
34	307
28	50
30	240
3	232
